"","C09-C","C09-R","C09-S","A33-C","A33-R","A33-S"
"CHCHD2",959.068433709698,1188.60484710611,1584.19076536316,13.1728673734498,11.3492343566254,16.070263741246
"CHL1",10280.8877123274,7737.76294800626,12927.8587899976,0,3.49207210973088,2.00878296765575
"FAR2P1",54.7041460975192,80.9998708977367,26.9420198191014,1448.07449198138,1504.21006126658,1334.83628200725
"HLA-B",12068.6657635144,7775.07749527376,5131.91593514244,470.45954905178,386.746986152695,479.094737785897
"RPS28P7",512.123920912946,505.11155447465,286.663090875239,5522.2541867698,4510.01112971743,4672.42918276729
"LCN9",720.465243284349,1026.60510531064,384.732043016768,5.64551458862136,1.74603605486544,4.01756593531151
"KLRF2",1464.20884661019,477.80822720575,602.423563155108,5.64551458862136,5.23810816459632,2.00878296765575
"CXCL14",10783.7002892237,10676.5110730489,6305.5103184625,999.256082185981,721.112890659427,628.749068876251
"DAW1",1567.79754879486,719.897728989997,472.024187230657,21.6411392563819,18.3333785760871,21.0922211603854
"SSXP10",1588.74807283221,424.111683576914,479.567952780005,7.52735278482848,6.98414421946176,5.02195741913939
"HSPA2",23.2783600414975,7.28088727170667,8.62144634211246,377.308558339528,357.064373219982,336.471147082339
"ZXDA",9.31134401659901,0,2.15536158552811,435.645542421949,406.826400783647,322.409666308749
"PCDHB8",451.600184805052,329.460149044727,514.053738148455,21.6411392563819,32.3016670150106,38.1668763854593
"DCN",2967.99090529094,2035.00799244201,1741.53216110672,214.529554367612,310.794417766048,242.058347602518
"HLA-C",10804.6508132611,8367.55969700889,5651.35807725471,1063.23858085702,942.859469627337,1150.02824898292
"RARB",776.333307383943,971.99845077284,594.87979760576,68.6870941615599,100.397073154763,90.395233544509
"CLDN1",4716.1957444074,2342.62547967162,1482.88877084334,155.251651187087,152.778154800726,121.531369543173
"IGFBP6",928.806565655751,895.54913441992,523.752865283332,26.3457347468997,55.0001357282613,61.2678805135005
"POTEE",3.49175400622463,0.910110908963334,0,672.757155144046,865.160865185825,473.06838888293
"FAR2P4",0,1.82022181792667,1.07768079276406,795.076637897509,1007.46280365736,711.109170550137
"CCNO",1842.48219728453,1067.56009621399,843.824060734257,92.2100716141489,130.079686087475,111.487454704894
"POTEF",33.7536220601714,20.9325509061567,9.69912713487651,435.645542421949,490.636131417188,303.326228116019
"DYNLT5",1219.78606617447,680.762959904574,439.693763447735,49.8687121994887,50.6350455910977,35.1537019339757
"ANXA11",2113.67509176798,1627.27830522644,1057.20485770154,159.015327579502,230.476759242238,182.799250056674
"NECTIN3-AS1",330.552712589265,339.471369043323,289.896133253531,22.5820583544855,40.1588292619051,42.1844423207708
"TUBA1C",379.43726867641,435.033014484474,350.246257648319,1376.56464052551,1453.57501567548,1607.0263741246
"CEBPZOS",165.276356294632,129.235749072793,113.156483240226,691.575537106117,658.255592684271,653.858855971948
"FAM89A",912.511713626703,610.684419914397,475.257229608949,83.7417997312169,72.4604962769157,83.3644931577138
"TEKT1",1759.84401913721,974.72878349973,640.14239090185,79.0372042406991,87.301802743272,96.4215824474762
"TPPP3",2424.44119832197,2321.69292876546,1014.09762599098,132.669592832602,159.762299020188,207.909037152371
"CFAP52",1700.48420103139,931.04345986949,500.043887842522,54.5733076900065,52.3810816459632,72.3161868356072
"FAM50B",36.0814580643212,12.7415527254867,12.9321695131687,493.041607406266,323.016670150106,325.422840760232
"CLIC6",20459.3506404722,8865.39036421183,6913.32228558143,1087.70247740772,863.41482913096,925.044556605475
"KLF2P1",43.0649660767704,38.22465817646,7.5437655493484,563.610539764033,649.525412409944,569.489971330406
"NPIPB2",8.14742601452414,13.65166363445,7.5437655493484,187.242900522609,181.587749706006,150.658722574182
"CLDN5",3112.31673754822,2251.61438877529,1121.86570526738,237.111612722097,187.698875898035,173.759726702223
"LRRC37A4P",77.9825061390167,33.6741036316433,91.6028673849448,625.711200238868,698.414421946176,798.491229643162
