"","C03_C","C03_R","C03_S","A33_C","A33_R","A33_S"
"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",-0.156866918244158,0.144572131533713,-0.268363068997037,0.468606247884736,0.35632035017376,0.205460500989786
"GOBP_REPRODUCTION",-0.0455397307038222,-0.142474117309607,-0.20416078748915,0.0476689572265598,0.00219569814675621,0.0858025975353319
"GOBP_SINGLE_STRAND_BREAK_REPAIR",-0.104182039137573,0.630231140918802,0.0843813688961807,0.55255671538953,0.477683890416218,0.0959659921703257
"GOBP_REGULATION_OF_DNA_RECOMBINATION",-0.0034765799854336,0.0132383238575561,-0.297311553923794,0.42546184150505,0.393678041503136,0.214464541940268
"GOBP_REGULATION_OF_MITOTIC_RECOMBINATION",0.0758203565936737,0.658653041761167,0.272987838707039,0.293548337531241,0.35423883951803,0.00951410544975642
"GOBP_MITOTIC_SPINDLE_ELONGATION",0.291339641346381,-0.658935223890321,-0.518042824265689,0.699758164470036,0.481609030382098,0.688428898729236
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",-0.234236959343995,0.0280044720480025,-0.502791415632206,0.504073758291978,0.192006112760044,0.00375395543753218
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-0.0699903511069289,-0.381391500024592,-0.625752311098545,0.39852683971682,0.195736835148924,-0.169235670985979
"GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",-0.107102908220197,0.128064731663716,-0.0533409573027562,-0.241016998973995,-0.101572692993576,-0.284478002319952
"GOBP_TRANSITION_METAL_ION_TRANSPORT",-0.150753878174995,0.0924129957018554,0.0505410911946498,-0.21531545109562,-0.288204915649388,-0.355923918906569
"GOBP_UREA_CYCLE",-0.348196133569087,-0.21698408439743,-0.332046070078407,0.00906938676942406,-0.126801003479443,0.287443695043147
"GOBP_CITRULLINE_METABOLIC_PROCESS",-0.286972598509933,-0.440970854076535,-0.53683139641138,0.240466479901177,0.175901828101975,0.252340012928279
"GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS",0.0326016894527718,0.00606745579232568,-0.519664490351528,0.601946794917563,0.478349087499157,0.158230940601408
